Utility_ID,Electric_Utility,State
101,Pacific Gas & Electric,Unknown
102,Southern California Edison,Unknown
103,Duke Energy,Unknown
104,Florida Power & Light,Unknown
105,New York Power Authority,Unknown
106,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
107,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
108,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
109,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
110,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
111,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
112,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
113,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
114,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
115,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
116,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
117,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
118,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
119,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
120,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
121,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
122,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
123,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
124,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
125,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
126,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
127,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
128,PACIFICORP,Unknown
129,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
130,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
131,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
132,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
133,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
134,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
135,PUGET SOUND ENERGY INC,Unknown
136,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
137,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
138,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
139,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
140,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
141,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
142,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
143,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
144,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
145,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
146,PUGET SOUND ENERGY INC,Unknown
147,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
148,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
149,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
150,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
151,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
152,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF KLICKITAT COUNTY,Unknown
153,PUGET SOUND ENERGY INC,Unknown
154,PUGET SOUND ENERGY INC,Unknown
155,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
156,PACIFICORP,Unknown
157,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
158,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
159,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
